,CAR MAKE,CAR MAKE LOCATION,CAR MODEL(Full Name),CAR MODEL(Short Name),CAR MODEL LOCATION,CAR TYPE,COLLECT,ADDED,BUYOUT NUM
504,LAMBORGHINI,"(0, 14)",2019 LAMBORGHINI URUS,URUS '19,30.0,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
505,LAMBORGHINI,"(0, 14)",2020 LAMBORGHINI ESSENZA SCV12,LAMBO ESSENZA,,EXTREME TRACK TOYS,AUTOSHOW DLC,ITALIAN EXOTICS CAR PACK,0
506,LAMBORGHINI,"(0, 14)",2020 LAMBORGHINI HURACÁN EVO,HURACÁN EVO,,MODERN SUPERCARS,AUTOSHOW DLC,CAR PASS,0
507,LAMBORGHINI,"(0, 14)",2020 LAMBORGHINI HURACÁN STO,HURACÁN STO,,TRACK TOYS,"BACKSTAGE, SEASONAL",SERIES 20,0
508,LAMBORGHINI,"(0, 14)",2020 LAMBORGHINI SC20,LAMBO SC20,,HYPERCARS,AUTOSHOW DLC,ITALIAN EXOTICS CAR PACK,0
509,LAMBORGHINI,"(0, 14)",2020 LAMBORGHINI SIÁN ROADSTER,LAMBO SIÁN R,,HYPERCARS,AUTOSHOW,SERIES 15,0
510,LAMBORGHINI,"(0, 14)",2021 LAMBORGHINI AVENTADOR LP 780-4 ULTIMAE,L. AVENTADOR '21,,HYPERCARS,"BACKSTAGE, SEASONAL",SERIES 36,0
511,LAMBORGHINI,"(0, 14)",2021 LAMBORGHINI COUNTACH LPI 800-4,L. COUNTACH '21,,HYPERCARS,SEASONAL,SERIES 34,0
512,LAMBORGHINI,"(0, 14)",2023 LAMBORGHINI HURACÁN TECNICA,HURACÁN TECNICA,,MODERN SUPERCARS,AUTOSHOW DLC,ITALIAN EXOTICS CAR PACK,0
513,LANCIA,"(1, 14)",1968 LANCIA FULVIA COUPE RALLYE 1.6 HF,NOT FOUND,,CLASSIC RALLY,SEASONAL,SERIES 31,0
514,LANCIA,"(1, 14)",1974 LANCIA STRATOS HF STRADALE,NOT FOUND,,CLASSIC RALLY,AUTOSHOW,SERIES 24,0
515,LANCIA,"(1, 14)",1982 LANCIA 037 STRADALE,NOT FOUND,,RETRO RALLY,SEASONAL,SERIES 24,0
516,LANCIA,"(1, 14)",1986 LANCIA DELTA S4,NOT FOUND,,RETRO RALLY,SEASONAL,SERIES 24,0
517,LANCIA,"(1, 14)",1992 LANCIA DELTA HF INTEGRALE EVO,NOT FOUND,,RETRO RALLY,AUTOSHOW,SERIES 24,0
518,LAND ROVER,"(2, 14)",1972 LAND ROVER SERIES III,LR SERIES III,4.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
519,LAND ROVER,"(2, 14)",1973 LAND ROVER RANGE ROVER,RANGE ROVER '73,6.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
520,LAND ROVER,"(2, 14)",1997 LAND ROVER DEFENDER 90,LR DEFENDER,2.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
521,LAND ROVER,"(2, 14)",2015 LAND ROVER RANGE ROVER SPORT SVR,RANGE ROVER '15,5.0,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
522,LAND ROVER,"(2, 14)",2018 LAND ROVER RANGE ROVER VELAR FIRST EDITION,LAND ROVER VELAR,,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
523,LAND ROVER,"(2, 14)",2020 LAND ROVER DEFENDER 110 X,LR DEFENDER '20,3.0,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
524,LEXUS,"(3, 14)",1997 LEXUS SC300,LEXUS SC300,6.0,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
525,LEXUS,"(3, 14)",2010 LEXUS LFA,LEXUS LFA,3.0,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
526,LEXUS,"(3, 14)",2015 LEXUS RC F,LEXUS RC F,4.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
527,LEXUS,"(3, 14)",2020 LEXUS #14 VASSER SULLIVAN RC F GT3,NOT FOUND,,EXTREME TRACK TOYS,AUTOSHOW DLC,APEX ALLSTARS CAR PACK,0
528,LEXUS,"(3, 14)",2020 LEXUS RC F TRACK EDITION,LEXUS RC F '20,,TRACK TOYS,AUTOSHOW DLC,CAR PASS,0
529,LEXUS,"(3, 14)",2021 LEXUS LC 500,NOT FOUND,,GT CARS,SEASONAL,SERIES 19,0
530,LINCOLN,"(4, 14)",1962 LINCOLN CONTINENTAL,LINCOLN CONTINENTAL,,RODS AND CUSTOMS,SEASONAL,SERIES 27,0
531,LOCAL MOTORS,"(0, 15)",2014 LOCAL MOTORS RALLY FIGHTER,RALLY FIGHTER,1.0,UNLIMITED OFFROAD,"AUTOSHOW, WHEELSPIN",,0
532,LOLA,"(1, 15)",1969 LOLA #6 PENSKE SUNOCO T70 MKIIIB,#6 LOLA T70,1.0,CLASSIC RACERS,"AUTOSHOW, WHEELSPIN",,0
533,LOTUS,"(2, 15)",1971 LOTUS ELAN SPRINT,LOTUS ELAN,4.0,CLASSIC SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
534,LOTUS,"(2, 15)",1980 LOTUS ESPRIT TURBO,LOTUS ESPRIT '80,9.0,RETRO SUPERCARS,SEASONAL,SERIES 34,0
535,LOTUS,"(2, 15)",1997 LOTUS ELISE GT1,LOTUS ELISE GT1,,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
536,LOTUS,"(2, 15)",1999 LOTUS ELISE SERIES 1 SPORT 190,LOTUS ELISE '99,5.0,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
537,LOTUS,"(2, 15)",2000 LOTUS 340R,NOT FOUND,,TRACK TOYS,SEASONAL,SERIES 28,0
538,LOTUS,"(2, 15)",2002 LOTUS ESPRIT V8,NOT FOUND,,RETRO SUPERCARS,SEASONAL,SERIES 31,0
539,LOTUS,"(2, 15)",2009 LOTUS 2-ELEVEN,LOTUS 2-ELEVEN,1.0,TRACK TOYS,SEASONAL,SERIES 28,0
540,LOTUS,"(2, 15)",2012 LOTUS EXIGE S,LOTUS EXIGE S,,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
541,LOTUS,"(2, 15)",2016 LOTUS 3-ELEVEN,LOTUS 3-ELEVEN,2.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
542,LOTUS,"(2, 15)",2020 LOTUS EVIJA,LOTUS EVIJA '20,10.0,HYPERCARS,AUTOSHOW,,0
543,LOTUS,"(2, 15)",2023 LOTUS EMIRA,LOTUS EMIRA '23,,MODERN SPORTS CARS,AUTOSHOW DLC,HORIZON RACING CAR PACK,0
544,LUCID,"(3, 15)",2023 LUCID AIR SAPPHIRE,LUCID AIR,,SUPER SALOONS,SEASONAL,SERIES 27,0
545,LYNK & CO,"(4, 15)",2020 LYNK & CO #100 CYAN RACING 03,#100 LYNK&CO 03,,TRACK TOYS,SEASONAL,SERIES 14,0
546,LYNK & CO,"(4, 15)",2021 LYNK & CO 03+,LYNK & CO 03+,2.0,SUPER SALOONS,AUTOSHOW,SERIES 12,0
547,LYNK & CO,"(4, 15)",2022 LYNK & CO 02 HATCHBACK,LYNK & CO 02 HB,1.0,HOT HATCH,SEASONAL,SERIES 30,0
548,LYNK & CO,"(4, 15)",2022 LYNK & CO 05+,LYNK & CO 05+,3.0,SPORTS UTILITY HEROES,AUTOSHOW DLC,CHINESE LUCKY STARS CAR PACK,0
549,MASERATI,"(0, 16)",1939 MASERATI 8CTF,MASERATI 8CTF,1.0,VINTAGE RACERS,SEASONAL,SERIES 2,0
550,MASERATI,"(0, 16)",2008 MASERATI MC12 VERSIONE CORSA,MC12 CORSA '08,5.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
551,MASERATI,"(0, 16)",2010 MASERATI GRAN TURISMO S,MASERATI GT-S,2.0,GT CARS,"AUTOSHOW, WHEELSPIN",,0
552,MASERATI,"(0, 16)",2010 MASERATI GRAN TURISMO S FORZA EDITION,MASERATI GT-S FE,,TRACK TOYS,"WHEELSPIN, SEASONAL",,0
553,MASERATI,"(0, 16)",2017 MASERATI LEVANTE S,MASERATI LEVANTE,4.0,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
554,MAZDA,"(1, 16)",1990 MAZDA SAVANNA RX-7,MAZDA RX-7 '90,7.0,RETRO SPORTS CARS,"ACCOLADE, WHEELSPIN",,0
555,MAZDA,"(1, 16)",1992 MAZDA 323 GT-R,MAZDA 323 GT-R,1.0,RETRO RALLY,AUTOSHOW DLC,CAR PASS,0
556,MAZDA,"(1, 16)",1994 MAZDA MX-5 MIATA,MAZDA MX-5 '94,5.0,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
557,MAZDA,"(1, 16)",1997 MAZDA RX-7,MAZDA RX-7 '97,8.0,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
558,MAZDA,"(1, 16)",2002 MAZDA RX-7 SPIRIT R TYPE-A,RX-7 SPIRIT-R,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
559,MAZDA,"(1, 16)",2005 MAZDA MAZDASPEED MX-5,MAZDA MX-5 '05,2.0,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
560,MAZDA,"(1, 16)",2011 MAZDA RX-8 R3,MAZDA RX-8,9.0,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
561,MAZDA,"(1, 16)",2013 MAZDA MX-5,MAZDA MX-5 '13,3.0,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
562,MAZDA,"(1, 16)",2016 MAZDA MX-5,MAZDA MX-5 '16,4.0,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
563,MAZDA,"(1, 16)",2022 MAZDA MX-5 MIATA RF,MAZDA MX-5 RF,6.0,MODERN SPORTS CARS,SEASONAL,SERIES 36,0
564,MCLAREN,"(2, 16)",1993 MCLAREN F1,MCLAREN F1,,RETRO SUPERCARS,"BACKSTAGE, WHEELSPIN, SEASONAL",,0
565,MCLAREN,"(2, 16)",1997 MCLAREN F1 GT,MCLAREN F1 GT,13.0,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
566,MCLAREN,"(2, 16)",2011 MCLAREN 12C COUPÉ,NOT FOUND,,MODERN SUPERCARS,"BACKSTAGE, SEASONAL",SERIES 29,0
567,MCLAREN,"(2, 16)",2013 MCLAREN P1,MCLAREN P1,,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
568,MCLAREN,"(2, 16)",2014 MCLAREN 650S SPIDER,650S SPIDER,,MODERN SUPERCARS,SEASONAL,SERIES 6,0
569,MCLAREN,"(2, 16)",2015 MCLAREN 570S COUPE,MCLAREN 570S,,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
570,MCLAREN,"(2, 16)",2015 MCLAREN 650S COUPE,MCLAREN 650S,,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
571,MCLAREN,"(2, 16)",2018 MCLAREN 600LT COUPE,MCLAREN 600LT,,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
572,MCLAREN,"(2, 16)",2018 MCLAREN 720S COUPE,MCLAREN 720S,,MODERN SUPERCARS,CAR COLLECTION,,0
573,MCLAREN,"(2, 16)",2018 MCLAREN SENNA,MCLAREN SENNA,16.0,HYPERCARS,AUTOSHOW,,0
574,MCLAREN,"(2, 16)",2019 MCLAREN 720S SPIDER,720S SPIDER,,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
575,MCLAREN,"(2, 16)",2019 MCLAREN SPEEDTAIL,SPEEDTAIL '19,17.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
576,MCLAREN,"(2, 16)",2020 MCLAREN GT,MCLAREN GT,14.0,SUPER GT,AUTOSHOW,,0
577,MCLAREN,"(2, 16)",2021 MCLAREN 620R,MCLAREN 620R,8.0,TRACK TOYS,AUTOSHOW DLC,CAR PASS,0
578,MCLAREN,"(2, 16)",2021 MCLAREN 765LT,MCLAREN 765LT,11.0,TRACK TOYS,"BACKSTAGE , SEASONAL",SERIES 6,0
579,MCLAREN,"(2, 16)",2021 MCLAREN SABRE,MCL. SABRE '21,4.0,HYPERCARS,AUTOSHOW DLC,ACCELERATION CAR PACK,0
580,MCLAREN,"(2, 16)",2023 MCLAREN ARTURA,MCL. ARTURA '23,,MODERN SUPERCARS,SEASONAL,SERIES 32,0
581,MERCEDES-AMG,"(3, 16)",2015 MERCEDES-AMG GT S,M-B AMG GT,,SUPER GT,SEASONAL,SERIES 8,0
582,MERCEDES-AMG,"(3, 16)",2016 MERCEDES-AMG C 63 S COUPE,M-B AMG C 63 '16,,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
583,MERCEDES-AMG,"(3, 16)",2017 MERCEDES-AMG GT R,M-B AMG GTR,,SUPER GT,"AUTOSHOW, WHEELSPIN",,0
584,MERCEDES-AMG,"(3, 16)",2018 MERCEDES-AMG E 63 S,MERCEDES-AMG E63,8.0,SUPER SALOONS,"WHEELSPIN, SEASONAL",,0
585,MERCEDES-AMG,"(3, 16)",2018 MERCEDES-AMG GT 4-DOOR COUPE,M-B AMG GT4 '18,,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
586,MERCEDES-AMG,"(3, 16)",2018 MERCEDES-AMG GT3,M-AMG GT3,2.0,EXTREME TRACK TOYS,AUTOSHOW DLC,APEX ALLSTARS CAR PACK,0
587,MERCEDES-AMG,"(3, 16)",2021 MERCEDES-AMG GT BLACK SERIES,AMG GT BLACK,1.0,TRACK TOYS,SEASONAL,SERIES 22,0
588,MERCEDES-AMG,"(3, 16)",2021 MERCEDES-AMG MERCEDES-AMG ONE,MERCEDES-AMG ONE,9.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
589,MERCEDES-AMG,"(3, 16)",2021 MERCEDES-AMG SL 63,M-AMG SL 63 '21,3.0,SUPER SALOONS,"BACKSTAGE, SEASONAL",SERIES 31,0
590,MERCEDES-BENZ,"(4, 16)",1929 MERCEDES-BENZ SSK,M-B SSK,21.0,RARE CLASSICS,"AUTOSHOW, WHEELSPIN",,0
591,MERCEDES-BENZ,"(4, 16)",1939 MERCEDES-BENZ W154,M-B W154,,VINTAGE RACERS,CAR COLLECTION,,0
592,MERCEDES-BENZ,"(4, 16)",1954 MERCEDES-BENZ 300 SL COUPE,M-B 300SL,8.0,RARE CLASSICS,"AUTOSHOW, WHEELSPIN",,0
593,MERCEDES-BENZ,"(4, 16)",1955 MERCEDES-BENZ 300 SLR,M-B 300 SLR,7.0,CLASSIC RACERS,AUTOSHOW,SERIES 11,0
594,MERCEDES-BENZ,"(4, 16)",1967 MERCEDES-BENZ 280 SL,NOT FOUND,,RARE CLASSICS,"BACKSTAGE, SEASONAL",SERIES 29,0
595,MERCEDES-BENZ,"(4, 16)",1987 MERCEDES-BENZ AMG HAMMER COUPE,AMG HAMMER COUPE,3.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
596,MERCEDES-BENZ,"(4, 16)",1987 MERCEDES-BENZ AMG HAMMER WAGON,AMG HAMMER WAGON,4.0,RETRO SALOONS,AUTOSHOW DLC,EUROPEAN AUTO CAR PACK,0
597,MERCEDES-BENZ,"(4, 16)",1990 MERCEDES-BENZ 190E 2.5-16 EVOLUTION II,M-B 190E,5.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
598,MERCEDES-BENZ,"(4, 16)",1992 MERCEDES-BENZ 500 E,M-B 500 E,9.0,RETRO SALOONS,SEASONAL,SERIES 31,0
599,MERCEDES-BENZ,"(4, 16)",1998 MERCEDES-BENZ AMG CLK GTR,M-B CLK-GTR,,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
600,MERCEDES-BENZ,"(4, 16)",1998 MERCEDES-BENZ AMG CLK GTR FORZA EDITION,M-B CLK-GTR FE,13.0,EXTREME TRACK TOYS,"WHEELSPIN, SEASONAL",,0
601,MERCEDES-BENZ,"(4, 16)",2006 MERCEDES-BENZ E 55 AMG WAGON,M-B E 55 AMG,,RETRO SALOONS,SEASONAL,SERIES 41,0
602,MERCEDES-BENZ,"(4, 16)",2009 MERCEDES-BENZ SL 65 AMG BLACK SERIES,NOT FOUND,,SUPER GT,SEASONAL,SERIES 22,0
603,MERCEDES-BENZ,"(4, 16)",2011 MERCEDES-BENZ SLS AMG,M-B SLS AMG,20.0,SUPER GT,"AUTOSHOW, WHEELSPIN",,0
604,MERCEDES-BENZ,"(4, 16)",2012 MERCEDES-BENZ C 63 AMG COUPE BLACK SERIES,NOT FOUND,,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
605,MERCEDES-BENZ,"(4, 16)",2012 MERCEDES-BENZ SLK 55 AMG,M-B SLK,19.0,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
606,MERCEDES-BENZ,"(4, 16)",2013 MERCEDES-BENZ A 45 AMG,MB A45,,SUPER HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
607,MERCEDES-BENZ,"(4, 16)",2013 MERCEDES-BENZ E 63 AMG,NOT FOUND,,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
608,MERCEDES-BENZ,"(4, 16)",2013 MERCEDES-BENZ G 65 AMG,NOT FOUND,,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
609,MERCEDES-BENZ,"(4, 16)",2014 MERCEDES-BENZ G 63 AMG 6X6,NOT FOUND,,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
610,MERCEDES-BENZ,"(4, 16)",2014 MERCEDES-BENZ UNIMOG U5023,M-B UNIMOG,22.0,TRUCKS,"AUTOSHOW, WHEELSPIN",,0
611,MERCEDES-BENZ,"(4, 16)",2015 MERCEDES-BENZ #24 TANKPOOL24 RACING TRUCK,#24 M-B TRUCK,,TRUCKS,"AUTOSHOW, WHEELSPIN",,0
612,MERCEDES-BENZ,"(4, 16)",2015 MERCEDES-BENZ #24 TANKPOOL24 RACING TRUCK FORZA EDITION,#24 M-B TRUCK FE,,UNLIMITED OFFROAD,"WHEELSPIN, SEASONAL",,0
613,MERCEDES-BENZ,"(4, 16)",2018 MERCEDES-BENZ X-CLASS,M-B X-CLASS,,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
614,MERCURY,"(0, 17)",1970 MERCURY CYCLONE SPOILER,MERCURY CYCLONE,1.0,CLASSIC MUSCLE,AUTOSHOW DLC,CAR PASS,0
615,MEYERS,"(1, 17)",1971 MEYERS MANX,MEYERS MANX,1.0,CULT CARS,"WHEELSPIN, SEASONAL",,0
616,MEYERS,"(1, 17)",1971 MEYERS MANX FORZA EDITION,MEYERS MANX FE,3.0,TRACK TOYS,"WHEELSPIN, SEASONAL",,0
617,MEYERS,"(1, 17)",2023 MEYERS MANX 2.0 EV,NOT FOUND,,BUGGIES,SEASONAL,SERIES 26,0
618,MG,"(2, 17)",1986 MG METRO 6R4,MG METRO 6R4,3.0,RALLY MONSTERS,"ACCOLADE, WHEELSPIN",,0
619,MG,"(2, 17)",2005 MG XPOWER SV-R,MG SV-R '05,6.0,RETRO SPORTS CARS,AUTOSHOW DLC,CAR PASS,0
620,MG,"(2, 17)",2015 MG MG3,MG MG3,4.0,HOT HATCH,SEASONAL,SERIES 4,0
621,MG,"(2, 17)",2020 MG #20 MG6 XPOWER,NOT FOUND,,TRACK TOYS,"BACKSTAGE, SEASONAL",SERIES 16,0
622,MG,"(2, 17)",2021 MG MG6 XPOWER,NOT FOUND,,SUPER SALOONS,SEASONAL,SERIES 16,0
623,MG,"(2, 17)",2023 MG CYBERSTER,MG CYBERSTER,2.0,GT CARS,AUTOSHOW DLC,CHINESE LUCKY STARS CAR PACK,0
624,MG,"(2, 17)",2022 MG MG7,MG MG7,5.0,SUPER SALOONS,SEASONAL,SERIES 30,0
625,MINI,"(3, 17)",1965 MINI COOPER S,NOT FOUND,,CLASSIC RALLY,"AUTOSHOW, WHEELSPIN",,0
626,MINI,"(3, 17)",1965 MINI COOPER S FORZA EDITION,MINI '65 FE,2.0,SUPER HOT HATCH,SEASONAL,SERIES 5,0
627,MINI,"(3, 17)",2009 MINI JOHN COOPER WORKS,NOT FOUND,,HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
628,MINI,"(3, 17)",2012 MINI JOHN COOPER WORKS GP,NOT FOUND,,HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
629,MINI,"(3, 17)",2013 MINI X-RAID ALL4 RACING COUNTRYMAN,MINI X-RAID,8.0,OFFROAD,"WHEELSPIN, SEASONAL",,0
630,MINI,"(3, 17)",2018 MINI JOHN COOPER WORKS COUNTRYMAN ALL4,NOT FOUND,,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
631,MINI,"(3, 17)",2018 MINI X-RAID JOHN COOPER WORKS BUGGY,NOT FOUND,,OFFROAD,"AUTOSHOW, WHEELSPIN",,0
632,MINI,"(3, 17)",2021 MINI JOHN COOPER WORKS GP,MINI JCW GP '21,7.0,SUPER HOT HATCH,AUTOSHOW DLC,CAR PASS,0
633,MITSUBISHI,"(4, 17)",1988 MITSUBISHI STARION ESI-R,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
634,MITSUBISHI,"(4, 17)",1992 MITSUBISHI GALANT VR-4,NOT FOUND,,RETRO RALLY,SEASONAL,SERIES 17,0
635,MITSUBISHI,"(4, 17)",1995 MITSUBISHI ECLIPSE GSX,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
636,MITSUBISHI,"(4, 17)",1995 MITSUBISHI LANCER EVOLUTION X GSR,MIT. EVO III '95,9.0,RETRO RALLY,SEASONAL,SERIES 38,0
637,MITSUBISHI,"(4, 17)",1997 MITSUBISHI GTO,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
638,MITSUBISHI,"(4, 17)",1997 MITSUBISHI MONTERO EVOLUTION,MONTERO EVO,12.0,PICKUPS & 4X4S,AUTOSHOW DLC,JDM JEWELS CAR PACK,0
639,MITSUBISHI,"(4, 17)",1998 MITSUBISHI FTO GP VERSION R,MITSUBISHI FTO,10.0,RETRO SPORTS CARS,SERIES 39,,0
640,MITSUBISHI,"(4, 17)",1999 MITSUBISHI LANCER EVOLUTION VI GSR,NOT FOUND,,RETRO RALLY,"AUTOSHOW, WHEELSPIN",,0
641,MITSUBISHI,"(4, 17)",2004 MITSUBISHI LANCER EVOLUTION VIII MR,NOT FOUND,,MODERN RALLY,"AUTOSHOW, WHEELSPIN",,0
642,MITSUBISHI,"(4, 17)",2005 MITSUBISHI #1 SIERRA SIERRA ENTERPRISES LANCER EVOLUTION TIME ATTACK,#1 EVOLUTION TA,,EXTREME TRACK TOYS,SEASONAL,SERIES 33,0
643,MITSUBISHI,"(4, 17)",2006 MITSUBISHI LANCER EVOLUTION IX MR,NOT FOUND,,MODERN RALLY,"AUTOSHOW, WHEELSPIN",,0
644,MITSUBISHI,"(4, 17)",2008 MITSUBISHI LANCER EVOLUTION X GSR,NOT FOUND,,MODERN RALLY,"AUTOSHOW, WHEELSPIN",,0
645,MITSUBISHI,"(4, 17)",2008 MITSUBISHI LANCER EVOLUTION X GSR 'WELCOME PACK',LANCER GSR WP,6.0,MODERN RALLY,AUTOSHOW DLC,WELCOME PACK,0
646,MORGAN,"(0, 18)",2014 MORGAN 3 WHEELER,NOT FOUND,,CULT CARS,"AUTOSHOW, WHEELSPIN",,0
647,MORGAN,"(0, 18)",2018 MORGAN AERO GT,MORGAN AERO GT,2.0,TRACK TOYS,SEASONAL,SERIES 28,0
648,MORRIS,"(1, 18)",1953 MORRIS MINOR 1000,NOT FOUND,,CULT CARS,"AUTOSHOW, WHEELSPIN",,0
649,MORRIS,"(1, 18)",1953 MORRIS MINOR 1000 FORZA EDITION,NOT FOUND,,TRACK TOYS,"WHEELSPIN, SEASONAL",,0
650,MORRIS,"(1, 18)",1953 MORRIS MINOR SERIES II TRAVELER,MORRIS TRAVELER,3.0,VANS & UTILITY,SEASONAL,SERIES 14,0
651,MORRIS,"(1, 18)",1965 MORRIS MINI-TRAVELLER,NOT FOUND,,VANS & UTILITY,SEASONAL,SERIES 14,0
652,MOSLER,"(2, 18)",2006 MOSLER MT900 GT3,MOSLER MT900 GT3,,EXTREME TRACK TOYS,AUTOSHOW DLC,HOT WHEELS EXPANSION,0
653,MOSLER,"(2, 18)",2010 MOSLER MT900S,MOSLER MT900S,,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
654,NAPIER,"(3, 18)",1933 NAPIER NAPIER-RAILTON,NAPIER-RAILTON,,VINTAGE RACERS,"AUTOSHOW, WHEELSPIN",,0
655,NIO,"(4, 18)",2016 NIO EP9,NIO EP9,1.0,HYPERCARS,SEASONAL,SERIES 4,0
656,NISSAN,"(0, 19)",1969 NISSAN FAIRLADY Z 432,NOT FOUND,,CLASSIC SPORTS CARS,CAR COLLECTION,,0
657,NISSAN,"(0, 19)",1971 NISSAN SKYLINE 2000GT-R,NOT FOUND,,CLASSIC SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
658,NISSAN,"(0, 19)",1973 NISSAN SKYLINE H/T 2000GT-R,NOT FOUND,,CLASSIC SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
659,NISSAN,"(0, 19)",1985 NISSAN SAFARI TURBO,NISSAN SAFARI,24.0,PICKUPS & 4X4S,"BACKSTAGE, SEASONAL",SERIES 18,0
660,NISSAN,"(0, 19)",1987 NISSAN SKYLINE GTS-R (HR31),NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
661,NISSAN,"(0, 19)",1990 NISSAN PULSAR GTI-R,NISSAN PULSAR,22.0,RETRO RALLY,"AUTOSHOW, WHEELSPIN",,0
662,NISSAN,"(0, 19)",1992 NISSAN SILVIA CLUB K'S,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
663,NISSAN,"(0, 19)",1993 NISSAN 240SX SE,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
664,NISSAN,"(0, 19)",1993 NISSAN SKYLINE GT-R V-SPEC,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
665,NISSAN,"(0, 19)",1994 NISSAN FAIRLADY Z VERSION S TWIN TURBO,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
666,NISSAN,"(0, 19)",1994 NISSAN SILVIA K'S,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
667,NISSAN,"(0, 19)",1995 NISSAN NISMO GT-R LM,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
668,NISSAN,"(0, 19)",1997 NISSAN SKYLINE GT-R V-SPEC,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
669,NISSAN,"(0, 19)",1997 NISSAN STAGEA FOUR V,N. STAGEA '97,,RETRO SALOONS,AUTOSHOW DLC,JDM JEWELS CAR PACK,0
670,NISSAN,"(0, 19)",1998 NISSAN R390 (GT1),NISSAN R390,23.0,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
671,NISSAN,"(0, 19)",1998 NISSAN SILVIA K'S AERO,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
